ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
172;CETRIOLI IN SALAMOIA      ;67;92,8;14;59;0,9;0;0,9;0,1;0;0,1;0,03;0;0;0,02;0,02;0;0,04;0;2,6;0,2;2,4;1,2;0;0,7;20;690;110;22;0,3;0;0,02;0,1;1;0,01;6;0;0;2;0,16;0;1;700125;2010;CETRIOLI IN SALAMOIA
173;CETRIOLINI SOTT'ACETO       ;67;92,8;14;59;0,9;0;0,9;0,1;0;0,1;0,03;0;0;0,02;0,02;0;0,04;0;2,6;0,2;2,4;1,2;0;0,7;20;690;110;22;0,3;0;0,02;0,1;1;0,01;6;0;0;2;0,07;0;1;900606;2010;CETRIOLINI SOTT'ACETO
174;CHAMPAGNE        ;100;86,8;76;318;0,3;0;0,3;0;0;0;0;0;0;0;0;0;0;0;1,4;0;1,4;0;9,9;0,5;3;4;57;7;0;0;0,01;0,1;0;0,02;0;0;0;0;0;0;1;100235;17001;CHAMPAGNE
175;CHEDDAR        ;100;38,5;381;1594;25;25;0;31;31;0;18,52;7,64;8,52;0,5;0,38;0;0,88;100;0,5;0;0,5;0;0;0,5;810;610;120;545;2,3;0,01;0,45;0,1;0;0,1;33;420;376;260;0,5;0,26;1;1706;7001;CHEDDAR
176;CHERRY BRANDY       ;100;0;255;1067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,6;0;32,6;0;19;0,1;5;12;34;7;0;0;0;0;0;0;0;0;0;0;0;0;1;609027;17004;CHERRY BRANDY
177;CICCIOLI        ;100;12;523;2188;40,8;40,8;0;40;40;0;16,14;16,33;17,86;2,68;0,22;0;2,9;70;0;0;0;0;0;1,4;30;1470;230;235;1,6;0,22;0,19;2;0;0,27;2;0;0;0;0,08;0;1;1141;10003;CICCIOLI
178;CICORIA        ;80;93,4;10;42;1,4;0;1,4;0,2;0;0,2;0,05;0;0;0,07;0,01;0;0,09;0;0,7;0;0,7;3,6;0;0,7;74;14;236;31;0,2;0,03;0,19;0,3;17;0,01;16;219;0;1314;0,57;0;1;319;2008;CICORIA [CICHORIUM INTYBUS]
179;CICORIA CATALOGNA       ;80;90;24;100;1,8;0;1,8;0,5;0;0,5;0,12;0,01;0,01;0,19;0,03;0;0,22;0;3,2;0,2;3;3,1;0;0,7;74;21;358;31;0,3;0,03;0,19;0,3;17;0,11;110;219;0;1315;2,26;0;1;100171;2008;CICORIA CATALOGNA [CHICORIUM INTYBUS, CV CATALOGNA]
180;CICORIA DA TAGLIO      ;89;95;12;50;1,2;0;1,2;0,1;0;0,1;0,02;0;0;0,04;0,01;0;0,04;0;1,7;0;1,7;3,6;0;1,5;150;7;180;26;0,2;0,03;0,08;0,3;8;0,01;12;267;0;1602;2,26;0;1;320;2008;CICORIA DA TAGLIO [CHICORIUM INTYBUS, CV BARBA DI FRATE]
181;CICORIA WITLOOF       ;100;94,3;17;71;0,7;0;0,7;0,3;0;0,3;0,07;0,01;0,01;0,11;0,02;0;0,13;0;3,2;0;3,2;0,6;0;0,3;18;1;170;26;0,2;0,04;0,03;0,3;3;0,01;14;10;0;60;2,26;0;1;321;2008;CICORIA WITLOOF [CHICORIUM INTYBUS, CV. WITLOOF]
182;CILIEGE        ;86;86,2;38;159;0,8;0;0,8;0,1;0;0,1;0,02;0,03;0,03;0,02;0,01;0;0,03;0;9;0;9;1,3;0;0,6;30;3;229;18;0,1;0,03;0,03;0,5;11;0,04;4;19;0;114;0,1;0;1;407;4001;CILIEGE [PRUNUS AVIUM]
183;CIOCCOLATO AL LATTE      ;100;1,7;565;2364;8,9;6;2,9;37,6;24,6;13;21,93;11,83;12,04;1,03;0,29;0;1,32;28;50,8;0;50,8;0,8;0;3;262;120;420;207;0,2;0,09;0,39;0,6;0;0,04;11;33;31;13;0,55;0;1;2006;14001;CIOCCOLATO AL LATTE
184;CIOCCOLATO BIANCO       ;100;0,6;529;2213;8;5,4;2,6;30,9;20,2;10,7;18,02;9,72;9,89;0,85;0,23;0;1,08;23;58,3;0;58,3;0,8;0;0,2;270;110;350;230;0,9;0,08;0,49;0,2;0;0,07;10;26;13;75;1,14;0;1;19014;14001;CIOCCOLATO BIANCO
185;CIOCCOLATO CON NOCCIOLE      ;100;2,1;571;2389;9,3;5,4;3,9;40,1;22,1;18;20,15;14,42;14,63;1,43;0,27;0;1,7;25;45,9;0;45,9;1,4;0;3;251;109;425;219;0,3;0,13;0,36;0,8;0;0,1;17;33;28;30;2,99;0;1;12985;14001;CIOCCOLATO CON NOCCIOLE
186;CIOCCOLATO FONDENTE       ;100;1,1;542;2268;5,8;4,2;1,6;34;22;12;20,25;10,92;10,92;1,07;0;0;1,07;0;56,7;0;56,7;1,4;0;5;51;11;300;186;1,3;0,07;0,07;0,6;0;0,03;12;9;0;54;1,44;0;1;2005;14001;CIOCCOLATO FONDENTE
187;CIOCCOLATO GIANDUIA       ;100;2,8;509;2130;13,1;0;13,1;28,8;0;28,8;17,15;9,25;9,25;0,91;0;0;0,91;0;52,7;0;52,7;2,5;0;1,9;42;6;300;162;1,3;0,26;0,26;2;0;0,03;12;18;0;108;1,44;0;1;2007;14001;CIOCCOLATO GIANDUIA
188;CIPOLLE        ;83;92,1;26;109;1;0;1;0,1;0;0,1;0,02;0,01;0,01;0,03;0;0;0,03;0;5,7;0;5,7;1,1;0;0,4;25;10;140;35;0,3;0,02;0,03;0,5;5;0,14;12;0;0;0;0,22;0;1;322;2005;CIPOLLE [ALLIUM CEPA]
189;CIPOLLE  secche       ;100;4,5;313;1310;10,2;0;10,2;1,7;0;1,7;0,3;0,26;0,26;0,68;0,03;0;0,71;0;68,6;0;48,7;13;0;2,6;220;170;1390;260;1,7;0,23;0;0,8;33;1,6;166;14;0;85;2,69;0;1;805678;2005;CIPOLLE, secche
190;CIPOLLINE        ;93;88,2;38;159;1,3;0;1,3;0,1;0;0,1;0,02;0,01;0,01;0,04;0;0;0,04;0;8,5;0;8,5;1,7;0;0,4;51;13;230;48;0,2;0,05;0,04;0,8;6;0,2;17;0;0;0;0,31;0;1;323;2005;CIPOLLINE [ALLIUM CEPA, CV PRAECOX]
191;CIPOLLINE SOTT'ACETO       ;100;90,6;24;100;0,9;0;0,9;0,2;0;0,2;0,03;0,03;0,03;0,07;0;0;0,08;0;4,9;0;3,5;1,3;0;0,2;22;450;93;23;0,1;0,02;0;0,1;0;0,1;14;2;0;10;0,31;0;1;900612;2010;CIPOLLINE SOTT'ACETO
192;COCA COLA       ;100;89;39;163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,5;0;10,5;0;0;0;5;8;1;15;0;0;0;0;0;0;0;0;0;0;0;0;1;3008;16001;COCA COLA
193;COCOMERO        ;52;95,3;15;63;0,4;0;0,4;0;0;0;0;0;0;0;0;0;0;0;3,7;0;3,7;0,2;0;0,2;7;3;280;2;0,1;0,02;0,02;0,1;8;0,08;1;37;0;222;0,06;0;1;408;4001;COCOMERO [CITRULLUS VULGARIS]
194;COGNAC        ;100;69;214;895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;0,9;0;30,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10023;17004;COGNAC
195;CONFETTI        ;100;4,1;441;1845;5,2;0;5,2;16,7;0;16,7;1,39;11,8;11,91;3,18;0,09;0;3,28;0;71,9;0;71,9;4,6;0;1,7;77;3;280;165;1,1;0,1;0,14;0,7;0;0,05;16;0;0;0;7,77;0;1;900104;14004;CONFETTI
196;CONIGLIO   CARNE SEMIGRASSA    ;68;70,9;138;577;22,1;22,1;0;5,3;5,3;0;2,04;0,98;1,22;0,53;1,16;0;1,69;65;0,5;0;0,5;0;0;1,3;17;67;360;180;1,4;0,17;0,11;3,7;0;0,5;5;0;0;0;0,13;0;1;1082;10070;CONIGLIO [ORYCTOLAGUS CUNICULUS], CARNE SEMIGRASSA
197;CONIGLIO  CARNE GRASSA      ;68;66,2;203;849;18,1;18,1;0;14,4;14,4;0;5,55;2,67;3,4;1,43;3,16;0;4,59;65;0,4;0;0,4;0;0;0,1;13;78;418;180;1,7;0;0,09;3;0;0,59;6;0;0;0;0,4;0;1;1083;10070;CONIGLIO, CARNE GRASSA
198;CONIGLIO  CARNE MAGRA      ;68;75,3;102;427;23,7;23,7;0;0,6;0,6;0;0,23;0,11;0,14;0,06;0,13;0;0,19;65;0,6;0;0,6;0;0;1,3;17;57;306;180;1,2;0,19;0,12;4;0;0,43;4;0;0;0;0,01;0;1;1081;10070;CONIGLIO, CARNE MAGRA
199;CONIGLIO  FRATTAGLIE       ;100;70;147;615;18,7;18,7;0;7,9;7,9;0;3,12;1,4;1,57;0,73;0,13;1,57;2,43;225;0,4;0;0,4;0;0;8;20;67;360;320;1,4;0,31;0,5;5,7;9;0,5;5;4550;4526;140;0,13;0;1;1284;10051;CONIGLIO, FRATTAGLIE
200;CONO PER GELATO      ;100;2,8;366;1531;10,1;0;10,1;3,3;0;3,3;0,49;1,25;1,26;1,17;0,08;0;1,25;0;78,8;77,7;1,1;3;0;2;170;93;190;130;0,7;0,2;0,04;2,3;0;0,15;15;0;0;0;1,38;0;1;742070;15007;CONO PER GELATO
201;COPPA        ;100;34,8;494;2067;17;17;0;47,3;47,3;0;21,64;13,04;14,69;8,6;0,07;0;8,67;66;0;0;0;0;0;1,3;11;1335;320;170;3;0,6;0,23;5,6;0;0,36;3;0;0;0;0,23;0;1;1142;10003;COPPA
202;COPPA PARMA       ;100;36,9;398;1665;23,6;23,6;0;33,5;33,5;0;10,98;13,78;15,1;4,05;0,29;0,35;4,69;96;0,6;0;0,6;0;0;1,9;17;2285;650;170;5,3;0,14;0,16;5,6;0;0,36;3;0;0;0;0,23;0;1;8503;10003;COPPA PARMA
203;CORNED BEEF IN SCATOLA     ;100;59,6;219;916;23,2;23,2;0;14;14;0;5,88;5,5;6,64;0,27;0,17;0,13;0,57;108;0;0;0;0;0;2,4;9;1000;140;125;5,5;0,03;0,15;1,7;0;0,18;5;0;0;0;1;1,7;1;1101;10040;CORNED BEEF IN SCATOLA
204;COTECHINO        ;100;36,8;450;1883;17,2;17,2;0;42,3;42,3;0;14;18,46;20,28;4,98;0,34;0,63;5,96;98;0;0;0;0;0;2,1;30;1744;272;109;4,1;0,2;0,16;7,3;0;0,07;1;0;0;0;0,24;0;1;1143;10003;COTECHINO
205;COTECHINO  cotto       ;100;51,4;306;1280;21,1;21,1;0;24,7;24,7;0;8,18;10,78;11,84;2,91;0,2;0,37;3,48;98;0;0;0;0;0;2,1;30;1744;272;109;4,1;0,2;0,16;3;0;0,07;1;0;0;0;0,24;0;1;9046;10003;COTECHINO, cotto
206;COZZA O MITILO      ;32;82,1;84;351;11,7;11,7;0;2,7;2,7;0;0,52;0,16;0,63;0,05;0,04;0,49;0,58;108;3,4;0;0;0;0;5,8;88;290;320;236;1,6;0,12;0,16;1,6;0;0,08;37;54;54;0;1,11;0;1;1307;11002;COZZA O MITILO [MYTILUS EDULIS]
207;CRACKERS AL FORMAGGIO      ;100;5,5;502;2100;9,8;1,2;8,6;25,5;13,1;12,4;9,45;8,79;9,07;4,5;0,38;0;4,88;13;62,1;62,1;0;2,8;0;4,8;151;995;145;218;1,1;0,57;0,43;4,7;0;0,55;25;30;28;18;1,01;0,01;1;79;9001;CRACKERS AL FORMAGGIO
208;CRACKERS INTEGRALI       ;100;2,7;443;1854;8,8;0;8,8;17,2;0;17,2;3,08;9,46;9,49;2,63;0,06;0;2,69;0;58,1;58,1;0;10,5;0;3,1;50;659;297;295;2,2;0,2;0,1;4,5;0;0,18;28;0;0;0;3,92;0;1;60092;9001;CRACKERS INTEGRALI
209;CRACKERS NON SALATI      ;100;4,3;440;1841;9,5;0;9,5;16,3;0;16,3;3,13;6,82;6,94;4,97;0,37;0;5,34;0;68,3;68,3;0;6,1;0;1,7;110;610;120;110;0,7;0,23;0,05;1,7;0;0,12;22;0;0;0;1,3;0;1;999073;9001;CRACKERS NON SALATI
210;CRACKERS SALATI       ;100;6;428;1791;9,4;0;9,4;10;0;10;1,92;4,18;4,26;3,05;0,23;0;3,27;0;80,1;77,5;2,6;2,8;0;1,7;110;879;120;110;0,7;0,23;0,05;1,7;0;0,12;22;0;0;0;1,3;0;1;78;9001;CRACKERS SALATI
211;CRACKERS SENZA GRASSI      ;100;3,4;393;1644;10,5;0;10,5;1,6;0;1,6;0,24;0,14;0,14;0,65;0,04;0;0,69;0;79,6;79,6;0;2,7;0;7,7;22;636;115;113;0,9;0,52;0,59;5,7;0;0,09;13;0;0;0;0,08;0;1;19017;9001;CRACKERS SENZA GRASSI
212;CRACOTTE        ;100;5,7;348;1456;10,5;0;10,5;1,2;0;1,2;0,13;0,13;0,13;0,44;0,07;0;0,51;0;78,8;75,2;3,6;9,2;0;2,1;80;640;500;3;0,6;0,28;0,14;1,1;0;0,29;35;0;0;0;0,5;0;1;82;9001;CRACOTTE
213;CRAUTI        ;100;91;24;100;1,5;0;1,5;0,3;0;0,3;0,08;0,02;0,03;0,06;0,05;0,02;0,13;0;4;0;4;1,1;0;0,6;48;355;288;43;0,4;0,03;0,05;0,2;20;0,15;16;0;0;0;0,2;0;1;100172;2004;CRAUTI
214;CREMA DI CACAO E NOCCIOLE    ;100;0,8;537;2247;6,9;4,6;2,3;32,4;22;10,4;9,92;16,44;16,49;2,02;0,12;2,38;4,52;2;58,1;0;58,1;1,2;0;3,6;143;50;370;164;1;0,03;0,1;0,5;0;0,1;11;0;0;0;0,45;0;1;2008;14001;CREMA DI CACAO E NOCCIOLE
215;CREMA PER PASTICCERIA      ;100;59;192;803;4,8;4,2;0,6;6,4;6,4;0;2,63;2,12;2,39;0,53;0,05;0,03;0,61;68;30,7;4,8;25,9;0,2;0;0,8;97;38;110;136;0,8;0,08;0,16;0,1;0;0,09;23;115;108;40;0,49;0,7;1;100225;15003;CREMA PER PASTICCERIA
216;CREME CARAMEL       ;100;72;109;456;3;2,2;0,8;2,2;2,1;0,1;1,35;0,57;0,62;0,05;0,04;0;0,09;12;20,6;2,6;18;0,1;0;0;94;70;150;77;0,3;0,03;0,2;0,1;0;0,03;8;38;37;8;0,16;0,07;1;700452;15003;CREME CARAMEL
217;CRESCIONE        ;62;92,5;22;92;3;0;3;1;0;1;0,27;0,06;0,08;0,12;0,23;0;0,35;0;0,4;0;0,4;3;0;2,2;170;49;230;52;0,7;0,16;0,06;0,3;62;0,23;14;420;0;2520;1,46;0;1;400093;2008;CRESCIONE [NASTURTIUM OFFICINALIS]
218;CROSTATA CON MARMELLATA      ;100;20,9;339;1418;4,9;1,6;3,3;8,2;8,1;0,1;4,56;2,09;2,37;0,29;0,11;0;0,41;52;65,5;25,9;39,6;1,6;0;1,4;55;230;110;46;0,3;0,07;0,01;0,5;2;0,04;4;73;62;68;0,74;0,64;1;2009;15006;CROSTATA CON MARMELLATA
219;CRUSCA DI GRANO      ;100;8,3;206;862;14,1;0;14,1;5,5;0;5,5;0,93;0,69;0,73;2,68;0,18;0;2,86;0;26,8;23;3,8;39,6;0;12,9;110;28;1160;1200;16,2;0,89;0,36;29,6;0;1,38;260;0;0;0;2,6;0;1;30039;8003;CRUSCA DI GRANO
220;CUMINO   SEMI     ;100;8,1;375;1569;17,8;0;17,8;22,3;0;22,3;0,72;14,86;14,86;2,53;0;0;2,53;0;33,7;0;33,7;10,5;0;66,4;931;168;1788;499;4,8;0,63;0,33;4,6;8;0,44;0;127;0;762;2,72;0;1;888003;24001;CUMINO [CUMINUM CYMINUM], SEMI
221;DADI PER BRODO      ;100;4,6;152;636;15,7;15,7;0;18,7;18,7;0;9,09;6,76;7,61;0,59;0,11;0;0,7;10;5;4;1;0,2;0;1,2;60;16982;446;320;0,8;0,07;0,24;4,5;0;0,57;1050;15;15;0;0;0;1;3018;24005;DADI PER BRODO
222;DADI PER BRODO VEGETALE     ;100;5,7;253;1059;13,5;0;13,5;17,3;0;17,3;4,33;7,7;7,7;4,24;0,28;0;4,52;0;11,6;9,4;2,2;0;0;2,8;47;16800;390;120;0,4;5,18;0,45;2,2;0;0,1;30;15;0;90;0;0;1;666010;24005;DADI PER BRODO VEGETALE
223;DAIKON        ;87;93;15;63;0,8;0;0,8;0,1;0;0,1;0,03;0,02;0,02;0,02;0,03;0;0,05;0;2,9;0;2,9;1,5;0;0,4;30;27;220;25;0,3;0,03;0,02;0,5;24;0,07;38;0;0;0;0;0;1;8032;2003;DAIKON [RAPHUS SATIVUS]
224;DATTERI   freschi     ;100;60,7;124;519;1,5;0;1,5;0,1;0;0,1;0,04;0,03;0,03;0,01;0;0;0,01;0;31,3;0;31,3;3,6;0;0,3;24;7;410;28;0,2;0,06;0,07;0,7;14;0,12;25;3;0;18;0,1;0;1;606531;4001;DATTERI [PHOENIX DACTYLIFERA], freschi
225;DATTERI  secchi       ;90;17,3;253;1059;2,7;0;2,7;0,6;0;0,6;0,25;0,2;0,2;0,04;0;0;0,04;0;63,1;0;63,1;8,7;0;2,7;69;5;750;65;0,4;0,08;0,15;2,2;0;0,19;13;5;0;30;0,1;0;1;505;4003;DATTERI, secchi
226;DENTICE        ;65;76,1;101;423;16,7;16,7;0;3,5;3,5;0;0,45;0,33;0,68;0;0,18;1,8;1,98;70;0,7;0;0,7;0;0;1,2;38;77;350;264;0,5;0,08;0,1;2,1;0;0,19;5;48;48;0;0,4;0;1;1308;11001;DENTICE [DENTEX DENTEX]
227;DENTICE SURGELATO       ;65;80,1;103;431;17,2;17,2;0;3,5;3,5;0;0,45;0,33;0,68;0;0,18;1,8;1,98;70;0,7;0;0,7;0;0;0,8;30;77;350;188;0,5;0,08;0,15;3,3;0;0,19;5;0;0;0;0,4;0;1;1401;11001;DENTICE SURGELATO
228;DOLCE VERDE       ;100;52,5;266;1113;19,1;19,1;0;20;20;0;12,41;5,47;6,47;0,41;0,29;0;0,71;90;2,5;0;2,5;0;0;0,3;360;770;93;300;1;0,03;0,3;0,1;0;0,07;52;343;315;165;0,54;0,24;1;1707;7001;DOLCE VERDE
229;DOLCIFICANTE A BASE DI SACCARINA    ;100;0,5;397;1661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,6;0;98,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;666008;14007;DOLCIFICANTE A BASE DI SACCARINA
230;DOLCIFICANTE ASPARTAME       ;100;0,5;400;1674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97,5;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;666006;14007;DOLCIFICANTE ASPARTAME
231;DOLCIFICANTE FRUTTOSIO       ;100;0,4;400;1674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99,5;0;99,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;666007;14007;DOLCIFICANTE FRUTTOSIO
232;DOLCIFICANTE SACCARINA       ;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;777013;14007;DOLCIFICANTE SACCARINA
233;EDAM  FRESCO       ;100;48;306;1280;26;26;0;22;22;0;13,14;5,78;7;0,29;0,31;0;0,6;102;1;0;1;0;0;0,5;675;1250;100;387;2,2;0,03;0,2;0,1;1;0,09;40;283;260;140;0,42;0,16;1;61784;7001;EDAM, FRESCO
234;EDAM STAGIONATO       ;100;42;345;1443;29;29;0;25;25;0;15,8;6,21;7,31;0,38;0,22;0;0,6;102;1;0;1;0;0;0,5;750;1250;100;430;2,2;0,03;0,2;0,1;1;0,09;40;317;290;160;0,48;0,19;1;100014;7001;EDAM STAGIONATO
235;EMMENTHAL        ;100;34,6;403;1686;28,5;28,5;0;30,6;30,6;0;18,4;9,05;9,82;1,37;0,45;0;1,82;100;3,6;0;3,6;0;0;0,3;1145;450;107;700;5;0,01;0,45;0,1;1;0,09;20;136;124;70;0,44;0,25;1;1708;7001;EMMENTHAL
236;ERBA CIPOLLINA   fresca    ;100;91;23;96;2,8;0;2,8;0,6;0;0,6;0,12;0,08;0,08;0,21;0,01;0;0,22;0;1,7;0;1,7;1,9;0;1,6;85;5;230;50;0,4;0,1;0,18;0,7;45;0,2;105;383;0;2300;1,6;0;1;8006;24001;ERBA CIPOLLINA [ALLIUM SCHOENOPRASUM], fresca
237;ESTRATTO DI CARNE BOVINA     ;100;18;219;916;54;54;0;0,4;0,4;0;0,17;0,17;0,2;0,01;0,01;0;0,02;2;0;0;0;0,9;0;1,3;37;3811;970;7;1;0,06;0,1;0,1;0;0,57;1050;0;0;0;0;0;1;3014;24005;ESTRATTO DI CARNE BOVINA
238;FAGIANO        ;85;69,2;144;602;24,3;24,3;0;5,2;5,2;0;1,51;1,72;2,42;0,45;0,06;0,15;0,66;71;0;0;0;0;0;8;49;70;290;308;1;0,17;0,19;11,3;0;0,66;6;0;0;0;0,3;0,4;1;1084;10050;FAGIANO [PHASIANUS COLCHICUS]
239;FAGIOLI        ;41;62,3;104;435;6,4;0;6,4;0,6;0;0,6;0,12;0,05;0,05;0,14;0,15;0;0,29;0;19,4;18,1;1,3;10,6;0;3;44;2;650;180;0,2;0,44;0,1;1;10;0,08;60;18;0;108;0,23;0;1;100;3001;FAGIOLI [PHASEOLUS VULGARIS]
240;FAGIOLI  secchi       ;100;10,7;311;1301;23,6;0;23,6;2,5;0;2,5;0,5;0,19;0,19;0,58;0,62;0;1,2;0;51,7;47,7;4;17;0;6,7;137;4;1445;437;3,4;0,4;0,17;2,3;3;0,4;130;3;0;18;0,93;0;1;202;3001;FAGIOLI, secchi
241;FAGIOLI ADUKI   secchi    ;100;12,7;272;1138;19,9;0;19,9;0,5;0;0,5;0,19;0,05;0;0,11;0;0;0;0;50,1;44,7;1;11,1;0;4,2;84;5;1220;380;5;0,45;0,22;2,6;0;0,35;622;2;0;12;0;0;1;8030;3001;FAGIOLI ADUKI [VIGNA ANGULARIS], secchi
242;FAGIOLI IN SCATOLA      ;100;82;43;180;4,1;0;4,1;0,5;0;0,5;0,1;0,04;0,04;0,12;0,12;0;0,24;0;6,3;5,2;1,1;6,8;0;1,9;40;305;232;47;0,6;0,03;0,02;0,1;0;0,03;8;0;0;0;0,23;0;1;100139;3001;FAGIOLI IN SCATOLA
243;FAGIOLI MUNG   secchi    ;100;11;279;1167;23,9;0;23,9;1,1;0;1,1;0,22;0,08;0,08;0,26;0,27;0;0,53;0;46,3;40,9;1,5;13,9;0;6;89;12;1250;360;2,7;0,36;0,26;2,1;0;0,38;140;4;0;24;0,52;0;1;8033;3001;FAGIOLI MUNG [PHASEOLUS AUREUS], secchi
244;FAGIOLINI        ;95;90,5;17;71;2,1;0;2,1;0,1;0;0,1;0,02;0;0;0,03;0,03;0;0,06;0;2,4;0;2,4;2,9;0;0,9;35;2;280;48;0,2;0,07;0,15;0,8;16;0,05;80;41;0;246;0,2;0;1;101;3001;FAGIOLINI [PHASEOLUS VULGARIS]
245;FAGIOLINI IN SCATOLA      ;54;90,3;22;92;1,5;0;1,5;0,1;0;0,1;0,02;0;0;0,03;0,03;0;0,06;0;4,1;3,1;1;2,6;0;1,9;53;340;110;27;0,2;0,02;0,05;0,2;0;0,05;10;9;0;53;0,18;0;1;700483;3001;FAGIOLINI IN SCATOLA
246;FARAONA        ;68;68,9;158;661;23,4;23,4;0;6,5;6,5;0;1,77;2;2,43;1,19;0,05;0,17;1,41;74;0;0;0;0;0;0,8;11;67;193;153;1,1;0,06;0,1;7,7;0;0,38;5;28;28;0;0,3;0,4;1;600546;10050;FARAONA [NUMIDA MELEAGRIS]
247;FARAONA  COSCIA       ;85;73,6;114;477;24,3;24,3;0;1,8;1,8;0;0,58;0,55;0,64;0,31;0,03;0,05;0,39;70;0,2;0;0,2;0;0;0,6;5;68;340;220;1,9;0,29;0,35;5,1;0;0,61;17;0;0;0;0,01;0,3;1;1086;10050;FARAONA, COSCIA
248;FARAONA  PETTO       ;85;75,3;107;448;25,1;25,1;0;0,7;0,7;0;0,23;0,21;0,25;0,12;0,01;0,02;0,15;57;0;0;0;0;0;0,3;4;50;360;230;1;0,14;0,15;9,1;0;0,81;9;0;0;0;0;0,3;1;1085;10050;FARAONA, PETTO
249;FARINA DI AVENA      ;100;9;388;1623;12,6;0;12,6;7,1;0;7,1;1,24;2,56;2,57;2,71;0,15;0;2,86;0;72,9;72,9;0;7,6;0;4,2;80;33;370;342;3,3;0,52;0,17;2,4;0;0,12;60;0;0;0;1,39;0;1;9;8002;FARINA DI AVENA
250;FARINA DI CASTAGNE      ;100;11;323;1351;5,8;0;5,8;3,7;0;3,7;0,64;1,36;1,38;1,33;0,15;0;1,48;0;71,6;44,2;27,5;10,9;0;3,2;50;11;847;164;0,9;0,23;0,37;1;0;0,64;109;0;0;0;2,26;0;1;3100;4004;FARINA DI CASTAGNE
251;FARINA DI CECI      ;100;13;334;1397;21,8;0;21,8;4,9;0;4,9;0,63;1,35;1,36;2,59;0,1;0;2,69;0;54,3;50,6;3,7;13,8;0;6,1;117;6;800;299;3,3;0,36;0,14;1,7;5;0,53;180;30;0;180;2,61;0;1;700080;3002;FARINA DI CECI
252;FARINA DI COCCO      ;100;2,3;604;2527;5,6;0;5,6;62;0;62;53,27;3,85;4,08;1,05;0;0;1,05;0;6,4;0;6,4;21,1;0;3,6;23;28;660;160;0,9;0,03;0,05;0,9;0;0,09;9;0;0;0;1,26;0;1;999834;4004;FARINA DI COCCO
253;FARINA DI FRUMENTO, INTEGRALE     ;100;13,4;321;1343;11,9;0;11,9;1,9;0;1,9;0,43;0,21;0,21;1,1;0,06;0;1,16;0;68,4;66,3;2,1;9,6;0;3;28;3;337;300;2,9;0,4;0,16;5;0;0,5;57;0;0;0;1,21;0;1;10;8002;FARINA DI FRUMENTO, INTEGRALE
254;FARINA DI FRUMENTO, TIPO 0    ;100;14,2;343;1435;11,5;0;11,5;1;0;1;0,23;0,11;0,11;0,58;0,03;0;0,61;0;76,9;75,1;1,8;3,5;0;0,9;18;2;140;160;0,6;0,25;0,04;1,2;0;0,15;22;0;0;0;0,23;0;1;11;8002;FARINA DI FRUMENTO, TIPO 0
255;FARINA DI FRUMENTO, TIPO 00    ;100;14,2;343;1435;11;0;11;0,7;0;0,7;0,16;0,08;0,08;0,41;0,02;0;0,43;0;78;76,3;1,7;2,5;0;0,7;17;3;126;76;0,6;0,1;0,03;1;0;0,15;22;0;0;0;0,16;0;1;12;8002;FARINA DI FRUMENTO, TIPO 00
256;FARINA DI GRANO DURO     ;100;14,2;304;1272;12,6;0;12,6;2,8;0;2,8;0,51;0,38;0,39;1,06;0,06;0;1,11;0;61,1;58;3,1;3,5;0;3,5;29;2;418;320;4;0,42;0,15;5,5;0;0,41;42;0;0;0;0,98;0;1;19021;8002;FARINA DI GRANO DURO
257;FARINA DI GRANO SARACENO     ;100;13,2;364;1523;8,1;0;8,1;1,5;0;1,5;0,33;0,44;0,46;0,42;0,03;0;0,46;0;84,9;84,5;0,4;2,1;0;2;12;1;220;150;2,6;0,28;0,07;2,8;0;0,4;54;0;0;0;0;0;1;805470;8002;FARINA DI GRANO SARACENO
